name	ui	pharmacological_action_name	pharmacological_action_ui
Antimycin A	D000968	Antifungal Agents	D000935
Antibodies, Antinuclear	D000974	Immunologic Factors	D007155
Antipain	D000976	Protease Inhibitors	D011480
alpha-2-Antiplasmin	D000979	Antifibrinolytic Agents	D000933
alpha-2-Antiplasmin	D000979	Serine Proteinase Inhibitors	D015842
Antipyrine	D000983	Anti-Inflammatory Agents, Non-Steroidal	D000894
Antistreptolysin	D000989	Immunologic Factors	D007155
Antithrombin III	D000990	Antithrombins	D000991
Antitoxins	D000992	Immunologic Factors	D007155
Antivenins	D000997	Immunologic Factors	D007155
Apazone	D001032	Anti-Inflammatory Agents, Non-Steroidal	D000894
Apazone	D001032	Uricosuric Agents	D014528
Apomorphine	D001058	Emetics	D004639
Apomorphine	D001058	Dopamine Agonists	D018491
Aprindine	D001073	Anti-Arrhythmia Agents	D000889
Aprindine	D001073	Voltage-Gated Sodium Channel Blockers	D061567
Propoxur	D001074	Cholinesterase Inhibitors	D002800
Propoxur	D001074	Insecticides	D007306
Vidarabine Phosphate	D001084	Antimetabolites	D000963
Vidarabine Phosphate	D001084	Antiviral Agents	D000998
Arabinofuranosylcytosine Triphosphate	D001085	Nucleic Acid Synthesis Inhibitors	D019384
Arbaprostil	D001101	Anti-Ulcer Agents	D000897
Arecoline	D001115	Cholinergic Agonists	D018679
Arginine Vasopressin	D001127	Hemostatics	D006490
Arginine Vasopressin	D001127	Vasoconstrictor Agents	D014662
Arginine Vasopressin	D001127	Antidiuretic Agents	D050034
Armin	D001138	Cholinesterase Inhibitors	D002800
Aroclors	D001140	Environmental Pollutants	D004785
Arsenamide	D001148	Filaricides	D005369
Arsenazo III	D001150	Coloring Agents	D004396
Arsenazo III	D001150	Indicators and Reagents	D007202
Arsenicals	D001152	Sulfhydryl Reagents	D013439
Arsphenamine	D001153	Antitreponemal Agents	D000993
Asbestos	D001194	Carcinogens	D002273
Ascorbic Acid	D001205	Antioxidants	D000975
Ascorbic Acid	D001205	Vitamins	D014815
Asparaginase	D001215	Antineoplastic Agents	D000970
Aspartame	D001218	Sweetening Agents	D013549
Aspirin	D001241	Anti-Inflammatory Agents, Non-Steroidal	D000894
Aspirin	D001241	Fibrinolytic Agents	D005343
Aspirin	D001241	Platelet Aggregation Inhibitors	D010975
Aspirin	D001241	Cyclooxygenase Inhibitors	D016861
Aspirin	D001241	Antipyretics	D058633
Atenolol	D001262	Anti-Arrhythmia Agents	D000889
Atenolol	D001262	Antihypertensive Agents	D000959
Atenolol	D001262	Sympatholytics	D013565
Atenolol	D001262	Adrenergic beta-1 Receptor Antagonists	D058671
Atractyloside	D001278	Enzyme Inhibitors	D004791
Atracurium	D001279	Neuromuscular Nondepolarizing Agents	D003473
Atracurium	D001279	Nicotinic Antagonists	D018733
Atrazine	D001280	Herbicides	D006540
Atropine	D001285	Adjuvants, Anesthesia	D000759
Atropine	D001285	Anti-Arrhythmia Agents	D000889
Atropine	D001285	Bronchodilator Agents	D001993
Atropine	D001285	Mydriatics	D009184
Atropine	D001285	Parasympatholytics	D010276
Atropine	D001285	Muscarinic Antagonists	D018727
Auranofin	D001310	Antirheumatic Agents	D018501
Aurovertins	D001313	Indicators and Reagents	D007202
Aurovertins	D001313	Uncoupling Agents	D014475
Autoantibodies	D001323	Immunologic Factors	D007155
Vehicle Emissions	D001335	Air Pollutants	D000393
trans-1,4-Bis(2-chlorobenzaminomethyl)cyclohexane Dihydrochloride	D001371	Anticholesteremic Agents	D000924
trans-1,4-Bis(2-chlorobenzaminomethyl)cyclohexane Dihydrochloride	D001371	Enzyme Inhibitors	D004791
Azacosterol	D001373	Anticholesteremic Agents	D000924
Azacitidine	D001374	Antimetabolites, Antineoplastic	D000964
Azacitidine	D001374	Enzyme Inhibitors	D004791
Azaguanine	D001375	Antimetabolites, Antineoplastic	D000964
Azaperone	D001376	Hypnotics and Sedatives	D006993
Azaperone	D001376	Antipsychotic Agents	D014150
Azaperone	D001376	Dopamine Antagonists	D018492
Azaserine	D001377	Antibiotics, Antineoplastic	D000903
Azaserine	D001377	Antifungal Agents	D000935
Azaserine	D001377	Antimetabolites, Antineoplastic	D000964
Azaserine	D001377	Immunosuppressive Agents	D007166
Azathioprine	D001379	Antimetabolites	D000963
Azathioprine	D001379	Antimetabolites, Antineoplastic	D000964
Azathioprine	D001379	Immunosuppressive Agents	D007166
Azathioprine	D001379	Antirheumatic Agents	D018501
Azauridine	D001380	Antimetabolites, Antineoplastic	D000964
Azauridine	D001380	Dermatologic Agents	D003879
Azinphosmethyl	D001387	Cholinesterase Inhibitors	D002800
Azinphosmethyl	D001387	Insecticides	D007306
Azinphosmethyl	D001387	Acaricides	D056810
Azlocillin	D001390	Anti-Bacterial Agents	D000900
Azoxymethane	D001397	Carcinogens	D002273
Aztreonam	D001398	Anti-Bacterial Agents	D000900
Azure Stains	D001399	Coloring Agents	D004396
Bacitracin	D001414	Anti-Infective Agents, Local	D000891
Bacitracin	D001414	Anti-Bacterial Agents	D000900
Baclofen	D001418	Muscle Relaxants, Central	D009125
Baclofen	D001418	GABA-B Receptor Agonists	D058786
Bacteriocins	D001430	Anti-Bacterial Agents	D000900
Bambermycins	D001455	Anti-Bacterial Agents	D000900
Barbital	D001462	Hypnotics and Sedatives	D006993
Barbital	D001462	GABA Modulators	D018757
Barium Sulfate	D001466	Contrast Media	D003287
3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, Methyl ester	D001498	Calcium Channel Agonists	D002120
BCG Vaccine	D001500	Adjuvants, Immunologic	D000276
Beclomethasone	D001507	Anti-Inflammatory Agents	D000893
Beclomethasone	D001507	Glucocorticoids	D005938
Beclomethasone	D001507	Anti-Asthmatic Agents	D018927
Bemegride	D001534	Central Nervous System Stimulants	D000697
Bemegride	D001534	Convulsants	D003292
Bemegride	D001534	Respiratory System Agents	D019141
Benactyzine	D001535	Antidepressive Agents	D000928
Benactyzine	D001535	Parasympatholytics	D010276
Benactyzine	D001535	Muscarinic Antagonists	D018727
Bence Jones Protein	D001536	Immunologic Factors	D007155
Bencyclane	D001537	Calcium Channel Blockers	D002121
Bencyclane	D001537	Vasodilator Agents	D014665
Bendroflumethiazide	D001539	Antihypertensive Agents	D000959
Bendroflumethiazide	D001539	Diuretics	D004232
Bendroflumethiazide	D001539	Sodium Chloride Symporter Inhibitors	D049993
Benomyl	D001542	Anthelmintics	D000871
Benomyl	D001542	Fungicides, Industrial	D005659
Benomyl	D001542	Tubulin Modulators	D050257
Benperidol	D001544	Antipsychotic Agents	D014150
Benperidol	D001544	Dopamine Antagonists	D018492
Benserazide	D001545	Antiparkinson Agents	D000978
Benserazide	D001545	Enzyme Inhibitors	D004791
Benserazide	D001545	Dopamine Agents	D015259
Bentonite	D001546	Antidotes	D000931
Benzalkonium Compounds	D001548	Anti-Infective Agents, Local	D000891
Benzalkonium Compounds	D001548	Detergents	D003902
Benzalkonium Compounds	D001548	Preservatives, Pharmaceutical	D011310
Benzbromarone	D001553	Uricosuric Agents	D014528
Lindane	D001556	Insecticides	D007306
Benzethonium	D001558	Anti-Infective Agents, Local	D000891
Benzocaine	D001566	Anesthetics, Local	D000779
Benzoflavones	D001571	Enzyme Inhibitors	D004791
Benzolamide	D001574	Carbonic Anhydrase Inhibitors	D002257
Benzophenoneidum	D001576	Anti-Infective Agents	D000890
Benzophenoneidum	D001576	Disinfectants	D004202
Benzophenoneidum	D001576	Coloring Agents	D004396
Benzoyl Peroxide	D001585	Dermatologic Agents	D003879
Benzoylarginine Nitroanilide	D001586	Chromogenic Compounds	D002863
Benzphetamine	D001589	Central Nervous System Stimulants	D000697
Benzphetamine	D001589	Sympathomimetics	D013566
Benzphetamine	D001589	Dopamine Agents	D015259
Benzphetamine	D001589	Adrenergic Agents	D018663
Benzphetamine	D001589	Adrenergic Uptake Inhibitors	D018759
Benzphetamine	D001589	Dopamine Uptake Inhibitors	D018765
Benztropine	D001590	Antiparkinson Agents	D000978
Benztropine	D001590	Parasympatholytics	D010276
Benztropine	D001590	Muscarinic Antagonists	D018727
Benztropine	D001590	Dopamine Uptake Inhibitors	D018765
Benzydamine	D001591	Anti-Inflammatory Agents	D000893
Bephenium Compounds	D001598	Antinematodal Agents	D000969
beta-Endorphin	D001615	Neurotransmitter Agents	D018377
Betahistine	D001621	Vasodilator Agents	D014665
Betahistine	D001621	Histamine Agonists	D017442
Betaine	D001622	Gastrointestinal Agents	D005765
Betaine	D001622	Lipotropic Agents	D008082
Betamethasone	D001623	Anti-Inflammatory Agents	D000893
Betamethasone	D001623	Glucocorticoids	D005938
Betamethasone	D001623	Anti-Asthmatic Agents	D018927
Betamethasone Valerate	D001624	Anti-Inflammatory Agents	D000893
Betamethasone Valerate	D001624	Glucocorticoids	D005938
Betazole	D001625	Gastrointestinal Agents	D005765
Betazole	D001625	Histamine Agonists	D017442
Bethanidine	D001627	Antihypertensive Agents	D000959
Bethanidine	D001627	Sympatholytics	D013565
Bethanidine	D001627	Adrenergic Agents	D018663
Bezafibrate	D001629	Hypolipidemic Agents	D000960
Bicarbonates	D001639	Buffers	D002021
Bicuculline	D001640	Convulsants	D003292
Bicuculline	D001640	GABA-A Receptor Antagonists	D058787
Biguanides	D001645	Hypoglycemic Agents	D007004
Bile Acids and Salts	D001647	Gastrointestinal Agents	D005765
Bilirubin	D001663	Antioxidants	D000975
Biotin	D001710	Vitamin B Complex	D014803
Biperiden	D001712	Antiparkinson Agents	D000978
Biperiden	D001712	Parasympatholytics	D010276
Biperiden	D001712	Muscarinic Antagonists	D018727
Bisacodyl	D001726	Cathartics	D002400
Bisacodyl	D001726	Laxatives	D054368
Dicumarol	D001728	Anticoagulants	D000925
Dicumarol	D001728	Enzyme Inhibitors	D004791
Dicumarol	D001728	Uncoupling Agents	D014475
Bismuth	D001729	Antacids	D000863
Bithionol	D001735	Anti-Infective Agents, Local	D000891
Bithionol	D001735	Antiplatyhelmintic Agents	D000980
Biuret	D001737	Indicators and Reagents	D007202
Bleomycin	D001761	Antibiotics, Antineoplastic	D000903
Bombesin	D001839	Neurotransmitter Agents	D018377
Bongkrekic Acid	D001865	Anti-Bacterial Agents	D000900
Boron	D001895	Trace Elements	D014131
Botulinum Antitoxin	D001904	Immunologic Factors	D007155
Botulinum Toxins	D001905	Neurotoxins	D009498
Botulinum Toxins	D001905	Acetylcholine Release Inhibitors	D065087
Bradykinin	D001920	Vasodilator Agents	D014665
Bretylium Tosylate	D001950	Anti-Arrhythmia Agents	D000889
Bretylium Tosylate	D001950	Antihypertensive Agents	D000959
Bretylium Tosylate	D001950	Adrenergic Antagonists	D018674
Brinolase	D001954	Fibrinolytic Agents	D005343
Brocresine	D001958	Enzyme Inhibitors	D004791
Bromazepam	D001960	Anti-Anxiety Agents	D014151
Bromazepam	D001960	GABA Modulators	D018757
Bromcresol Green	D001961	Indicators and Reagents	D007202
Bromcresol Purple	D001962	Indicators and Reagents	D007202
Bromhexine	D001964	Expectorants	D005100
Bromides	D001965	Anticonvulsants	D000927
Bromisovalum	D001968	Hypnotics and Sedatives	D006993
Bromocriptine	D001971	Antiparkinson Agents	D000978
Bromocriptine	D001971	Hormone Antagonists	D006727
Bromocriptine	D001971	Dopamine Agonists	D018491
Bromodeoxyuridine	D001973	Antimetabolites	D000963
Bromodeoxyuridine	D001973	Antimetabolites, Antineoplastic	D000964
Bromodeoxyuridine	D001973	Antiviral Agents	D000998
Bromodeoxyuridine	D001973	Radiation-Sensitizing Agents	D011838
Bromouracil	D001976	Antimetabolites	D000963
Bromouracil	D001976	Mutagens	D009153
Brompheniramine	D001977	Histamine H1 Antagonists	D006634
Brompheniramine	D001977	Anti-Allergic Agents	D018926
Bromphenol Blue	D001978	Coloring Agents	D004396
Bromphenol Blue	D001978	Indicators and Reagents	D007202
Bromthymol Blue	D001979	Coloring Agents	D004396
Bromthymol Blue	D001979	Indicators and Reagents	D007202
Bucrylate	D002015	Tissue Adhesives	D014014
Bufanolides	D002018	Cardiotonic Agents	D002316
Bufexamac	D002019	Anti-Inflammatory Agents, Non-Steroidal	D000894
Buformin	D002026	Hypoglycemic Agents	D007004
Bufotenin	D002027	Hallucinogens	D006213
Bufotenin	D002027	Serotonin Antagonists	D012702
Bumetanide	D002034	Diuretics	D004232
Bumetanide	D002034	Sodium Potassium Chloride Symporter Inhibitors	D049994
Bunaftine	D002035	Anti-Arrhythmia Agents	D000889
Levobunolol	D002040	Adrenergic beta-Antagonists	D000319
Levobunolol	D002040	Sympatholytics	D013565
Bupivacaine	D002045	Anesthetics, Local	D000779
Bupranolol	D002046	Adrenergic beta-Antagonists	D000319
Bupranolol	D002046	Anti-Arrhythmia Agents	D000889
Bupranolol	D002046	Antihypertensive Agents	D000959
Buprenorphine	D002047	Analgesics, Opioid	D000701
Buprenorphine	D002047	Narcotic Antagonists	D009292
Buprenorphine	D002047	Narcotics	D009294
Burimamide	D002049	Anti-Ulcer Agents	D000897
Burimamide	D002049	Histamine H2 Antagonists	D006635
Buserelin	D002064	Fertility Agents, Female	D005300
Buspirone	D002065	Anti-Anxiety Agents	D014151
Buspirone	D002065	Serotonin Receptor Agonists	D017366
Busulfan	D002066	Alkylating Agents	D000477
Busulfan	D002066	Immunosuppressive Agents	D007166
Busulfan	D002066	Antineoplastic Agents, Alkylating	D018906
Busulfan	D002066	Myeloablative Agonists	D019653
Butaclamol	D002069	Antipsychotic Agents	D014150
Butaclamol	D002069	Dopamine Antagonists	D018492
Butirosin Sulfate	D002076	Anti-Bacterial Agents	D000900
Butorphanol	D002077	Analgesics, Opioid	D000701
Butorphanol	D002077	Antitussive Agents	D000996
Butorphanol	D002077	Narcotic Antagonists	D009292
Butorphanol	D002077	Narcotics	D009294
Butoxamine	D002078	Hypolipidemic Agents	D000960
Butoxamine	D002078	Hypoglycemic Agents	D007004
Butoxamine	D002078	Sympatholytics	D013565
Butoxamine	D002078	Adrenergic beta-2 Receptor Antagonists	D058672
Butylated Hydroxyanisole	D002083	Antioxidants	D000975
Butylated Hydroxyanisole	D002083	Carcinogens	D002273
Butylated Hydroxytoluene	D002084	Antioxidants	D000975
Butylscopolammonium Bromide	D002086	Parasympatholytics	D010276
Butylscopolammonium Bromide	D002086	Muscarinic Antagonists	D018727
Cacodylic Acid	D002101	Herbicides	D006540
Caffeine	D002110	Central Nervous System Stimulants	D000697
Caffeine	D002110	Phosphodiesterase Inhibitors	D010726
Caffeine	D002110	Purinergic P1 Receptor Antagonists	D058915
Calcifediol	D002112	Vitamins	D014815
Calcifediol	D002112	Bone Density Conservation Agents	D050071
Calcitonin	D002116	Bone Density Conservation Agents	D050071
Calcitriol	D002117	Calcium Channel Agonists	D002120
Calcitriol	D002117	Vitamins	D014815
Calcitriol	D002117	Bone Density Conservation Agents	D050071
Calcium Carbonate	D002119	Antacids	D000863
Calcium Dobesilate	D002123	Hemostatics	D006490
Calcium Hydroxide	D002126	Bone Cements	D001843
Calcium Sulfate	D002133	Dental Materials	D003764
Calcium, Dietary	D002136	Bone Density Conservation Agents	D050071
Cambendazole	D002159	Antinematodal Agents	D000969
Camphor	D002164	Anti-Infective Agents, Local	D000891
Camptothecin	D002166	Antineoplastic Agents, Phytogenic	D000972
Camptothecin	D002166	Topoisomerase I Inhibitors	D059004
Candicidin	D002174	Anti-Bacterial Agents	D000900
Candicidin	D002174	Antifungal Agents	D000935
Canrenoic Acid	D002191	Mineralocorticoid Receptor Antagonists	D000451
Canrenone	D002192	Mineralocorticoid Receptor Antagonists	D000451
Cantharidin	D002193	Enzyme Inhibitors	D004791
Cantharidin	D002193	Irritants	D007509
Capreomycin	D002207	Anti-Bacterial Agents	D000900
Capreomycin	D002207	Antibiotics, Antitubercular	D000904
Capreomycin	D002207	Protein Synthesis Inhibitors	D011500
Capsaicin	D002211	Antipruritics	D000982
Capsaicin	D002211	Sensory System Agents	D018689
Captan	D002215	Fungicides, Industrial	D005659
Captopril	D002216	Angiotensin-Converting Enzyme Inhibitors	D000806
Captopril	D002216	Antihypertensive Agents	D000959
Carbachol	D002217	Cardiotonic Agents	D002316
Carbachol	D002217	Miotics	D008916
Carbachol	D002217	Cholinergic Agonists	D018679
Carbachol	D002217	Analgesics, Non-Narcotic	D018712
Carbadox	D002218	Anti-Infective Agents	D000890
Carbadox	D002218	Anti-Infective Agents, Local	D000891
Carbadox	D002218	Carcinogens	D002273
Carbadox	D002218	Mutagens	D009153
Carbamazepine	D002220	Anticonvulsants	D000927
Carbamazepine	D002220	Antimanic Agents	D018692
Carbamazepine	D002220	Analgesics, Non-Narcotic	D018712
Carbamazepine	D002220	Cytochrome P-450 CYP3A Inducers	D065701
Carbazilquinone	D002225	Antineoplastic Agents, Alkylating	D018906
Carbenicillin	D002228	Anti-Bacterial Agents	D000900
Carbenoxolone	D002229	Anti-Ulcer Agents	D000897
Carbidopa	D002230	Antiparkinson Agents	D000978
Carbidopa	D002230	Dopamine Agents	D015259
Carbidopa	D002230	Aromatic Amino Acid Decarboxylase Inhibitors	D065105
Carbimazole	D002231	Antithyroid Agents	D013956
Carbocyanines	D002232	Coloring Agents	D004396
Carbocysteine	D002233	Anti-Infective Agents, Local	D000891
Carbocysteine	D002233	Expectorants	D005100
Carbofuran	D002235	Antinematodal Agents	D000969
Carbofuran	D002235	Cholinesterase Inhibitors	D002800
Carbofuran	D002235	Insecticides	D007306
Carbon Monoxide	D002248	Antimetabolites	D000963
Carbon Monoxide	D002248	Gasotransmitters	D064426
Carbonyl Cyanide m-Chlorophenyl Hydrazone	D002258	Proton Ionophores	D061209
Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone	D002259	Proton Ionophores	D061209
Carboprost	D002260	Abortifacient Agents, Nonsteroidal	D000020
Carboprost	D002260	Oxytocics	D010120
Carboxin	D002261	Fungicides, Industrial	D005659
Carboxymethylcellulose Sodium	D002266	Laxatives	D054368
Carbutamide	D002271	Hypoglycemic Agents	D007004
Cardiac Glycosides	D002301	Anti-Arrhythmia Agents	D000889
Cardiac Glycosides	D002301	Cardiotonic Agents	D002316
Cardiac Glycosides	D002301	Enzyme Inhibitors	D004791
Carfecillin	D002323	Anti-Infective Agents, Urinary	D000892
Carfecillin	D002323	Anti-Bacterial Agents	D000900
Carisoprodol	D002328	Muscle Relaxants, Central	D009125
Carmine	D002329	Coloring Agents	D004396
Carmine	D002329	Food Coloring Agents	D005505
Carmustine	D002330	Antineoplastic Agents, Alkylating	D018906
Carotenoids	D002338	Antioxidants	D000975
Carteolol	D002354	Adrenergic beta-Antagonists	D000319
Carteolol	D002354	Anti-Arrhythmia Agents	D000889
Carteolol	D002354	Antihypertensive Agents	D000959
Carteolol	D002354	Sympatholytics	D013565
Carticaine	D002355	Anesthetics, Local	D000779
Carubicin	D002360	Antibiotics, Antineoplastic	D000903
Carubicin	D002360	Topoisomerase II Inhibitors	D059005
Cascara	D002362	Cathartics	D002400
Caseins	D002364	Chelating Agents	D002614
Castor Oil	D002368	Cathartics	D002400
Catalase	D002374	Antioxidants	D000975
Cefaclor	D002433	Anti-Bacterial Agents	D000900
Cefadroxil	D002434	Anti-Bacterial Agents	D000900
Cefamandole	D002435	Anti-Bacterial Agents	D000900
Cefatrizine	D002436	Anti-Bacterial Agents	D000900
Cefazolin	D002437	Anti-Bacterial Agents	D000900
Cefoperazone	D002438	Anti-Bacterial Agents	D000900
Cefotaxime	D002439	Anti-Bacterial Agents	D000900
Cefoxitin	D002440	Anti-Bacterial Agents	D000900
Cefsulodin	D002441	Anti-Bacterial Agents	D000900
Ceftazidime	D002442	Anti-Bacterial Agents	D000900
Ceftriaxone	D002443	Anti-Bacterial Agents	D000900
Cefuroxime	D002444	Anti-Bacterial Agents	D000900
Cellulose, Oxidized	D002483	Hemostatics	D006490
Centchroman	D002486	Contraceptives, Postcoital, Synthetic	D003283
Centchroman	D002486	Estrogen Antagonists	D004965
Meclofenoxate	D002504	Neuroprotective Agents	D018696
Meclofenoxate	D002504	Nootropic Agents	D018697
Cephacetrile	D002505	Anti-Bacterial Agents	D000900
Cephalexin	D002506	Anti-Bacterial Agents	D000900
Cephaloglycin	D002507	Anti-Bacterial Agents	D000900
